451	917
452	976
453	1126
454	1373
455	1544
456	1876
457	2017
458	2269
459	2651
460	3031
461	3364
462	3802
463	4189
464	4712
465	5220
466	5832
467	6467
468	6964
469	7645
470	8322
471	8987
472	9470
473	10265
474	10815
475	11484
476	12311
477	13035
478	13220
479	13567
480	14216
481	14689
482	14688
483	15283
484	15227
485	15193
486	15219
487	15153
488	14836
489	14619
490	13906
491	13732
492	13233
493	12512
494	11908
495	11169
496	10698
497	9975
498	9030
499	8495
500	7808
501	7036
502	6216
503	5704
504	5020
505	4446
506	3923
507	3345
508	2966
509	2635
510	2215
511	1891
512	1608
513	1334
514	1168
515	931
516	790
517	637
518	517
519	435
520	338
521	324
522	239
523	192
524	174
525	138
526	123
527	102
528	95
529	87
530	61
531	84
532	72
533	55
534	37
535	63
536	49
537	53
538	56
539	38
540	34
541	43
542	48
543	38
544	36
545	47
546	44
547	42
548	38
549	39
550	43
551	35
552	44
553	27
554	40
555	45
556	48
557	32
558	39
559	27
560	33
561	47
562	44
563	37
564	28
565	29
566	49
567	47
568	29
569	42
570	21
571	28
572	31
573	30
574	27
575	45
576	31
577	34
578	29
579	29
580	33
581	36
582	28
583	27
584	26
585	25
586	33
587	26
588	36
589	25
590	19
591	23
592	31
593	26
594	30
595	30
596	27
597	44
598	36
599	27
600	29
601	37
602	32
603	17
604	29
605	31
606	30
607	32
608	29
609	29
610	24
611	20
612	30
613	40
614	31
615	18
616	27
617	30
618	23
619	28
620	31
621	33
622	35
623	25
624	21
625	29
626	25
627	25
628	30
629	22
630	28
631	25
632	25
633	32
634	22
635	30
636	35
637	22
638	26
639	35
640	20
641	19
642	22
643	27
644	16
645	32
646	32
647	31
648	24
649	22
650	18
651	26
652	20
653	18
654	19
655	31
656	23
657	24
658	24
659	25
660	17
661	28
662	16
663	12
664	27
665	24
666	17
667	21
668	22
669	24
670	29
671	18
672	23
673	14
674	15
675	16
676	14
677	17
678	17
679	16
680	18
681	18
682	22
683	25
684	17
685	12
686	18
687	20
688	18
689	21
690	21
691	19
692	18
693	19
694	23
695	15
696	18
697	20
698	16
699	17
700	28
701	17
702	19
703	18
704	16
705	23
706	27
707	13
708	18
709	18
710	13
711	19
712	20
713	18
714	14
715	15
716	12
717	14
718	17
719	19
720	21
721	18
722	15
723	9
724	13
725	14
726	14
727	13
728	15
729	13
730	12
731	18
732	13
733	16
734	10
735	22
736	7
737	20
738	13
739	11
740	18
741	19
742	15
743	19
744	20
745	16
746	12
747	9
748	13
749	5
750	14
751	19
752	15
753	14
754	17
755	15
756	14
757	16
758	9
759	16
760	19
761	11
762	5
763	14
764	15
765	18
766	10
767	19
768	10
769	7
770	8
771	5
772	7
773	8
774	12
775	9
776	9
777	5
778	13
779	8
780	13
781	13
782	12
783	13
784	21
785	20
786	21
787	14
788	7
789	11
790	7
791	15
792	9
793	12
794	9
795	12
796	16
797	8
798	11
799	13
800	18
801	9
802	15
803	15
804	14
805	8
806	9
807	5
808	9
809	14
810	17
811	18
812	8
813	9
814	9
815	10
816	8
817	13
818	12
819	3
820	10
821	7
822	8
823	16
824	6
825	6
826	6
827	9
828	7
829	15
830	7
831	10
832	10
833	10
834	7
835	13
836	5
837	9
838	8
839	6
840	15
841	10
842	14
843	9
844	7
845	13
846	10
847	8
848	11
849	8
850	10
851	9
852	11
853	11
854	11
855	9
856	9
857	6
858	8
859	5
860	6
861	10
862	15
863	7
864	6
865	11
866	5
867	9
868	10
869	8
870	5
871	8
872	12
873	9
874	6
875	7
876	12
877	4
878	2
879	4
880	4
881	11
882	8
883	10
884	8
885	10
886	8
887	13
888	6
889	6
890	11
891	12
892	7
893	10
894	11
895	11
896	12
897	6
898	6
899	12
900	4
901	10
902	6
903	5
904	10
905	11
906	14
907	9
908	15
909	9
910	14
911	8
912	8
913	6
914	12
915	15
916	13
917	11
918	13
919	9
920	9
921	6
922	8
923	14
924	8
925	7
926	6
927	10
928	11
929	16
930	13
931	10
932	6
933	10
934	10
935	4
936	13
937	10
938	12
939	7
940	17
941	11
942	10
943	16
944	14
945	14
946	7
947	8
948	14
949	11
950	17
951	9
952	13
953	14
954	16
955	11
956	15
957	19
958	12
959	12
960	11
961	18
962	15
963	12
964	17
965	9
966	12
967	9
968	7
969	10
970	5
971	13
972	10
973	8
974	11
975	8
976	7
977	11
978	8
979	8
980	7
981	8
982	7
983	8
984	9
985	7
986	9
987	1
988	2
989	3
990	2
991	2
992	9
993	4
994	3
995	4
996	5
997	2
998	4
999	4
1000	6
1001	1
1002	4
1003	1
1004	3
1005	1
1006	2
1007	0
1008	0
1009	1
1010	1
1011	2
1012	1
1013	2
1014	2
1015	2
1016	0
1017	2
1018	1
1019	1
1020	0
1021	1
1022	0
1023	1
1024	0
1025	1
1026	1
1027	1
1028	0
1029	1
1030	1
1031	2
1032	0
1033	2
1034	0
1035	0
1036	1
1037	0
1038	0
1039	0
1040	1
1041	0
1042	2
1043	0
1044	3
1045	0
1046	0
1047	0
1048	0
1049	0
1050	1
1051	1
1052	0
1053	1
1054	0
1055	0
1056	0
1057	0
1058	0
1059	0
1060	0
1061	1
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	0
1069	2
1070	0
1071	0
1072	0
1073	0
1074	0
1075	0
1076	0
1077	0
1078	1
1079	1
1080	1
1081	0
1082	1
1083	0
1084	1
1085	0
1086	0
1087	0
1088	1
1089	1
1090	0
1091	1
1092	0
1093	1
1094	2
1095	1
1096	0
1097	0
1098	0
1099	0
1100	0
1101	1
1102	0
1103	0
1104	0
1105	0
1106	0
1107	0
1108	0
1109	0
1110	0
1111	0
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	1
1119	0
1120	1
1121	0
1122	0
1123	1
1124	0
1125	0
1126	0
1127	1
1128	0
1129	1
1130	0
1131	1
1132	0
1133	0
1134	0
1135	0
1136	0
1137	0
1138	1
1139	0
1140	0
1141	1
1142	0
1143	0
1144	1
1145	0
1146	0
1147	0
1148	1
1149	1
1150	0
1151	0
1152	0
1153	1
1154	0
1155	0
1156	1
1157	1
1158	0
1159	0
1160	0
1161	2
1162	0
1163	0
1164	0
1165	0
1166	1
1167	0
1168	0
1169	1
1170	0
1171	0
1172	0
1173	0
1174	0
1175	1
1176	0
1177	1
1178	0
1179	0
1180	0
1181	0
1182	0
1183	1
1184	0
1185	0
1186	0
1187	2
1188	0
1189	0
1190	0
1191	0
1192	1
1193	0
1194	0
1195	0
1196	1
1197	0
1198	0
1199	0
1200	0
1201	0
1202	1
1203	0
1204	0
1205	0
1206	0
1207	0
1208	1
1209	0
1210	1
1211	0
1212	1
1213	0
1214	1
1215	0
1216	0
1217	1
1218	0
1219	0
1220	1
1221	0
1222	0
1223	0
1224	0
1225	0
1226	1
1227	0
1228	1
1229	0
1230	0
1231	1
1232	0
1233	0
1234	0
1235	0
1236	0
1237	0
1238	1
1239	0
1240	0
1241	0
1242	0
1243	0
1244	0
1245	0
1246	0
1247	0
1248	0
1249	0
1250	0
1251	0
1252	0
1253	0
1254	0
1255	1
1256	0
1257	0
1258	0
1259	0
1260	0
1261	0
1262	0
1263	0
1264	1
1265	0
1266	0
1267	0
1268	0
1269	0
1270	0
1271	0
1272	1
1273	0
1274	0
1275	0
1276	0
1277	0
1278	0
1279	0
1280	0
1281	0
1282	0
1283	0
1284	0
1285	0
1286	0
1287	0
1288	0
1289	0
1290	0
1291	0
1292	0
1293	0
1294	0
1295	0
1296	0
1297	0
1298	0
1299	0
1300	0
1301	0
1302	0
1303	0
1304	0
1305	0
1306	0
1307	0
1308	0
1309	0
1310	0
1311	0
1312	0
1313	0
1314	1
1315	0
1316	0
1317	1
1318	0
1319	0
1320	0
1321	0
1322	0
1323	0
1324	0
1325	0
1326	0
1327	0
1328	1
1329	0
1330	1
1331	0
1332	1
1333	0
1334	0
1335	1
1336	0
1337	0
1338	0
1339	0
1340	0
1341	0
1342	0
1343	0
1344	1
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	0
1352	0
1353	0
1354	0
1355	0
1356	0
1357	1
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	1
1367	0
1368	0
1369	0
1370	0
1371	0
1372	0
1373	0
1374	0
1375	0
1376	0
1377	0
1378	1
1379	0
1380	0
1381	0
1382	0
1383	1
1384	1
1385	0
1386	0
1387	0
1388	0
1389	0
1390	3
1391	0
1392	0
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0
1403	0
1404	1
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	0
1425	0
1426	0
1427	0
1428	0
1429	0
1430	0
1431	0
1432	1
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	1
1447	0
1448	0
1449	0
1450	1
1451	0
1452	0
1453	0
1454	0
1455	0
1456	1
1457	1
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	1
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	0
1479	0
1480	1
1481	0
1482	0
1483	0
1484	0
1485	0
1486	0
1487	0
1488	0
1489	0
1490	0
1491	0
1492	0
1493	0
1494	0
1495	0
1496	0
1497	0
1498	0
1499	0
1500	0
1501	0
1502	0
1503	0
1504	0
1505	0
1506	0
1507	0
1508	0
1509	1
1510	0
1511	0
1512	0
1513	0
1514	0
1515	2
1516	0
1517	0
1518	1
1519	0
1520	0
1521	0
1522	0
1523	1
1524	0
1525	0
1526	0
1527	0
1528	0
1529	0
1530	0
1531	0
1532	0
1533	1
1534	0
1535	0
1536	1
1537	2
1538	0
1539	0
1540	0
1541	0
1542	0
1543	0
1544	0
1545	0
1546	0
1547	0
1548	0
1549	0
1550	0
1551	0
1552	0
1553	0
1554	0
1555	0
1556	0
1557	0
1558	0
1559	0
1560	0
1561	0
1562	0
1563	0
1564	0
1565	0
1566	0
1567	0
1568	0
1569	0
1570	0
1571	0
1572	0
1573	0
1574	0
1575	0
1576	0
1577	0
1578	0
1579	0
1580	0
1581	0
1582	0
1583	0
1584	0
1585	2
1586	0
1587	0
1588	0
1589	0
1590	0
1591	0
1592	1
1593	1
1594	0
1595	0
1596	0
1597	0
1598	0
1599	0
1600	0
1601	0
1602	0
1603	0
1604	0
1605	0
1606	1
1607	0
1608	0
1609	0
1610	0
1611	0
1612	0
1613	0
1614	0
1615	0
1616	0
1617	0
1618	0
1619	1
1620	0
1621	0
1622	0
1623	1
1624	0
1625	0
1626	0
1627	0
1628	0
1629	0
1630	0
1631	0
1632	0
1633	0
1634	0
1635	0
1636	0
1637	0
1638	0
1639	0
1640	0
1641	0
1642	0
1643	0
1644	0
1645	0
1646	0
1647	0
1648	0
1649	0
1650	0
1651	0
1652	0
1653	0
1654	0
1655	0
1656	1
1657	0
1658	0
1659	0
1660	0
1661	1
1662	0
1663	0
1664	0
1665	0
1666	1
1667	1
1668	0
1669	0
1670	0
1671	0
1672	1
1673	0
1674	0
1675	0
1676	0
1677	0
1678	0
1679	0
1680	0
1681	0
1682	0
1683	0
1684	0
1685	0
1686	0
1687	0
1688	0
1689	0
1690	0
1691	0
1692	1
1693	0
1694	0
1695	0
1696	0
1697	0
1698	0
1699	0
1700	0
1701	0
1702	0
1703	1
1704	0
1705	0
1706	0
1707	0
1708	0
1709	0
1710	0
1711	0
1712	0
1713	0
1714	1
1715	0
1716	0
1717	0
1718	0
1719	0
1720	0
1721	0
1722	0
1723	0
1724	0
1725	0
1726	1
1727	0
1728	0
1729	0
1730	0
1731	0
1732	0
1733	0
1734	1
1735	0
1736	0
1737	0
1738	0
1739	0
1740	0
1741	0
1742	0
1743	0
1744	0
1745	0
1746	0
1747	0
1748	0
1749	0
1750	0
1751	0
1752	0
1753	1
1754	0
1755	0
1756	0
1757	0
1758	0
1759	0
1760	0
1761	0
1762	0
1763	0
1764	0
1765	0
1766	0
1767	0
1768	0
1769	0
1770	0
1771	0
1772	0
1773	0
1774	0
1775	0
1776	0
1777	0
1778	0
1779	1
1780	0
1781	1
1782	0
1783	0
1784	0
1785	0
1786	0
1787	0
1788	0
1789	0
1790	0
1791	0
1792	0
1793	1
1794	0
1795	0
1796	0
1797	0
1798	0
1799	1
1800	0
1801	0
1802	0
1803	0
1804	0
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	0
1812	0
1813	0
1814	0
1815	0
1816	0
1817	0
1818	0
1819	0
1820	0
1821	0
1822	0
1823	0
1824	0
1825	0
1826	0
1827	1
1828	0
1829	0
1830	0
1831	0
1832	1
1833	1
1834	0
1835	0
1836	0
1837	0
1838	0
1839	0
1840	0
1841	0
1842	0
1843	0
1844	0
1845	0
1846	0
1847	0
1848	0
1849	0
1850	0
1851	0
1852	0
1853	0
1854	1
1855	0
1856	0
1857	0
1858	0
1859	0
1860	0
1861	0
1862	0
1863	2
1864	0
1865	0
1866	0
1867	0
1868	0
1869	0
1870	0
1871	0
1872	0
1873	0
1874	0
1875	0
1876	0
1877	1
1878	0
1879	0
1880	0
1881	0
1882	0
1883	0
1884	0
1885	0
1886	0
1887	0
1888	0
1889	0
1890	0
1891	0
1892	0
1893	0
1894	0
1895	1
1896	0
1897	0
1898	0
1899	0
1900	0
1901	0
1902	0
1903	0
1904	0
1905	0
1906	1
1907	1
1908	0
1909	0
1910	0
1911	0
1912	1
1913	0
1914	0
1915	0
1916	0
1917	0
1918	0
1919	0
1920	1
1921	0
1922	0
1923	0
1924	0
1925	0
1926	0
1927	0
1928	0
1929	0
1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	1
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	1
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	1
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	0
1979	0
1980	0
1981	0
1982	0
1983	0
1984	0
1985	0
1986	0
1987	0
1988	0
1989	0
1990	0
1991	0
1992	0
1993	0
1994	0
1995	0
1996	0
1997	0
1998	0
1999	0
2000	0
2001	0
2002	0
2003	0
2004	0
2005	0
2006	0
2007	0
2008	0
2009	0
2010	0
2011	0
2012	0
2013	0
2014	0
2015	0
2016	0
2017	0
2018	0
2019	0
2020	0
2021	0
2022	0
2023	0
2024	0
2025	0
2026	0
2027	0
2028	0
2029	0
2030	0
2031	0
2032	0
2033	0
2034	0
2035	0
2036	0
2037	0
2038	0
2039	0
2040	0
2041	0
2042	0
2043	0
2044	0
2045	0
2046	0
2047	0
