484	10883
485	10773
486	10843
487	10644
488	10588
489	10327
490	10165
491	10004
492	9402
493	9092
494	8541
495	8174
496	7818
497	7034
498	6695
499	6250
500	5667
501	5051
502	4672
503	4139
504	3736
505	3280
506	3024
507	2647
508	2295
509	1973
510	1704
511	1463
512	1195
513	1042
514	890
515	741
516	599
517	476
518	408
519	333
520	279
521	224
522	192
523	153
524	135
525	102
526	84
527	75
528	60
529	58
530	48
531	49
532	56
533	44
534	33
535	35
536	32
537	41
538	31
539	27
540	31
541	38
542	25
543	34
544	30
545	30
546	31
547	28
548	25
549	29
550	21
551	32
552	34
553	30
554	28
555	33
556	28
557	21
558	28
559	21
560	27
561	29
562	21
563	36
564	22
565	27
566	26
567	31
568	21
569	22
570	32
571	27
572	22
573	23
574	36
575	19
576	20
577	27
578	19
579	23
580	27
581	35
582	23
583	24
584	26
585	17
586	22
587	20
588	35
589	22
590	23
591	17
592	21
593	21
594	24
595	22
596	21
597	18
598	23
599	20
600	21
601	17
602	17
603	23
604	17
605	21
606	30
607	19
608	15
609	27
610	23
611	28
612	19
613	12
614	21
615	24
616	24
617	18
618	21
619	18
620	23
621	17
622	26
623	19
624	10
625	10
626	23
627	15
628	17
629	13
630	15
631	16
632	18
633	19
634	17
635	15
636	16
637	13
638	22
639	16
640	18
641	14
642	17
643	20
644	19
645	11
646	20
647	19
648	14
649	15
650	22
651	24
652	18
653	8
654	16
655	14
656	16
657	16
658	16
659	21
660	10
661	13
662	16
663	15
664	16
665	11
666	19
667	14
668	20
669	9
670	14
671	14
672	17
673	11
674	15
675	14
676	10
677	8
678	13
679	16
680	14
681	17
682	10
683	17
684	14
685	18
686	11
687	11
688	8
689	15
690	12
691	23
692	9
693	22
694	14
695	15
696	14
697	18
698	10
699	16
700	17
701	18
702	7
703	11
704	9
705	14
706	13
707	11
708	6
709	16
710	15
711	14
712	9
713	15
714	9
715	16
716	10
717	8
718	11
719	14
720	17
721	12
722	12
723	14
724	12
725	8
726	10
727	14
728	10
729	7
730	5
731	9
732	13
733	9
734	10
735	8
736	9
737	11
738	11
739	12
740	4
741	10
742	7
743	5
744	8
745	9
746	10
747	18
748	10
749	9
750	6
751	7
752	12
753	8
754	7
755	7
756	10
757	11
758	8
759	5
760	8
761	11
762	10
763	12
764	10
765	11
766	9
767	11
768	5
769	12
770	8
771	4
772	11
773	13
774	12
775	9
776	8
777	6
778	13
779	12
780	3
781	12
782	9
783	8
784	4
785	7
786	4
787	6
788	10
789	7
790	10
791	12
792	8
793	7
794	7
795	6
796	6
797	11
798	12
799	6
800	13
801	5
802	7
803	8
804	4
805	3
806	7
807	8
808	7
809	8
810	12
811	4
812	6
813	8
814	2
815	5
816	9
817	10
818	8
819	11
820	4
821	10
822	7
823	7
824	8
825	6
826	8
827	5
828	3
829	12
830	8
831	8
832	5
833	13
834	4
835	8
836	7
837	11
838	7
839	7
840	5
841	10
842	12
843	3
844	8
845	8
846	4
847	6
848	7
849	9
850	8
851	7
852	9
853	2
854	7
855	5
856	8
857	6
858	10
859	10
860	4
861	8
862	4
863	2
864	8
865	8
866	6
867	4
868	6
869	6
870	15
871	8
872	2
873	2
874	7
875	6
876	5
877	4
878	7
879	6
880	6
881	6
882	3
883	7
884	8
885	4
886	5
887	12
888	4
889	3
890	3
891	4
892	4
893	8
894	7
895	4
896	4
897	5
898	1
899	5
900	5
901	7
902	5
903	4
904	7
905	10
906	10
907	9
908	5
909	7
910	9
911	6
912	3
913	9
914	7
915	3
916	10
917	11
918	6
919	7
920	6
921	8
922	7
923	11
924	11
925	10
926	9
927	3
928	4
929	5
930	7
931	5
932	8
933	10
934	8
935	3
936	6
937	5
938	2
939	11
940	7
941	5
942	3
943	14
944	13
945	3
946	8
947	9
948	7
949	10
950	7
951	3
952	10
953	6
954	10
955	12
956	9
957	11
958	7
959	2
960	12
961	7
962	9
963	10
964	11
965	10
966	7
967	11
968	6
969	11
970	8
971	6
972	9
973	10
974	10
975	7
976	6
977	3
978	2
979	6
980	9
981	5
982	2
983	6
984	2
985	4
986	4
987	5
988	4
989	5
990	5
991	3
992	6
993	3
994	3
995	4
996	0
997	4
998	3
999	3
1000	1
1001	3
1002	2
1003	0
1004	1
1005	2
1006	0
1007	0
1008	1
1009	1
1010	0
1011	1
1012	1
1013	0
1014	1
1015	1
1016	0
1017	1
1018	1
1019	0
1020	0
1021	0
1022	1
1023	2
1024	0
1025	0
1026	0
1027	0
1028	1
1029	0
1030	0
1031	0
1032	0
1033	2
1034	0
1035	1
1036	0
1037	0
1038	1
1039	1
1040	0
1041	0
1042	0
1043	0
1044	1
1045	0
1046	0
1047	0
1048	0
1049	0
1050	0
1051	2
1052	0
1053	0
1054	0
1055	0
1056	0
1057	1
1058	0
1059	0
1060	0
1061	0
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	0
1069	0
1070	0
1071	0
1072	0
1073	0
1074	1
1075	0
1076	0
1077	1
1078	0
1079	0
1080	0
1081	0
1082	0
1083	0
1084	0
1085	1
1086	0
1087	1
1088	0
1089	0
1090	2
1091	0
1092	0
1093	0
1094	0
1095	1
1096	0
1097	0
1098	0
1099	0
1100	1
1101	0
1102	0
1103	0
1104	2
1105	0
1106	0
1107	0
1108	0
1109	0
1110	1
1111	0
1112	0
1113	1
1114	0
1115	0
1116	2
1117	0
1118	0
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	1
1126	0
1127	0
1128	0
1129	0
1130	0
1131	1
1132	0
1133	0
1134	0
1135	0
1136	1
1137	0
1138	0
1139	0
1140	0
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	1
1151	0
1152	0
1153	0
1154	0
1155	0
1156	1
1157	0
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	1
1166	0
1167	0
1168	0
1169	0
1170	0
1171	0
1172	1
1173	0
1174	0
1175	0
1176	1
1177	0
1178	1
1179	0
1180	0
1181	1
1182	0
1183	0
1184	0
1185	0
1186	0
1187	0
1188	0
1189	0
1190	1
1191	0
1192	0
1193	0
1194	0
1195	0
1196	0
1197	0
1198	1
1199	0
1200	0
1201	0
1202	0
1203	1
1204	0
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	0
1212	0
1213	0
1214	1
1215	0
1216	0
1217	0
1218	0
1219	0
1220	0
1221	0
1222	0
1223	0
1224	0
1225	0
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	0
1233	0
1234	0
1235	0
1236	1
1237	0
1238	0
1239	0
1240	0
1241	1
1242	0
1243	0
1244	0
1245	0
1246	1
1247	0
1248	0
1249	2
1250	0
1251	0
1252	0
1253	1
1254	0
1255	0
1256	0
1257	0
1258	0
1259	0
1260	1
1261	0
1262	0
1263	0
1264	0
1265	0
1266	0
1267	0
1268	0
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	0
1279	0
1280	0
1281	0
1282	0
1283	0
1284	0
1285	0
1286	0
1287	0
1288	0
1289	0
1290	1
1291	0
1292	1
1293	0
1294	0
1295	0
1296	0
1297	0
1298	0
1299	0
1300	0
1301	0
1302	1
1303	0
1304	0
1305	0
1306	0
1307	0
1308	0
1309	0
1310	0
1311	1
1312	0
1313	0
1314	0
1315	0
1316	0
1317	0
1318	0
1319	0
1320	0
1321	0
1322	0
1323	0
1324	0
1325	0
1326	0
1327	0
1328	0
1329	1
1330	0
1331	0
1332	0
1333	0
1334	1
1335	0
1336	0
1337	0
1338	0
1339	0
1340	0
1341	1
1342	0
1343	0
1344	0
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	0
1352	0
1353	1
1354	0
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	0
1367	0
1368	0
1369	0
1370	0
1371	0
1372	0
1373	0
1374	0
1375	0
1376	0
1377	0
1378	0
1379	0
1380	1
1381	0
1382	0
1383	0
1384	1
1385	0
1386	0
1387	0
1388	0
1389	0
1390	0
1391	0
1392	0
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	1
1402	0
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	1
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	1
1423	0
1424	0
1425	0
1426	0
1427	0
1428	1
1429	0
1430	0
1431	0
1432	1
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	1
1446	0
1447	0
1448	0
1449	0
1450	0
1451	0
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	2
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	0
1479	0
1480	0
1481	0
1482	0
1483	0
1484	0
1485	0
1486	0
1487	0
1488	0
1489	1
1490	0
1491	0
1492	0
1493	0
1494	0
1495	0
1496	0
1497	0
1498	0
1499	0
1500	0
1501	0
1502	0
1503	0
1504	0
1505	0
1506	0
1507	0
1508	0
1509	0
1510	0
1511	0
1512	0
1513	0
1514	0
1515	0
1516	0
1517	0
1518	0
1519	0
1520	0
1521	1
1522	0
1523	0
1524	0
1525	1
1526	0
1527	0
1528	0
1529	0
1530	0
1531	0
1532	1
1533	0
1534	0
1535	0
1536	0
1537	0
1538	0
1539	0
1540	0
1541	0
1542	0
1543	0
1544	0
1545	0
1546	0
1547	0
1548	0
1549	0
1550	0
1551	0
1552	0
1553	0
1554	0
1555	0
1556	0
1557	0
1558	0
1559	0
1560	0
1561	0
1562	0
1563	0
1564	0
1565	0
1566	0
1567	0
1568	0
1569	0
1570	0
1571	0
1572	0
1573	0
1574	0
1575	0
1576	0
1577	0
1578	0
1579	0
1580	0
1581	0
1582	0
1583	0
1584	0
1585	0
1586	0
1587	0
1588	0
1589	0
1590	0
1591	0
1592	0
1593	0
1594	0
1595	0
1596	0
1597	0
1598	0
1599	0
1600	0
1601	0
1602	0
1603	0
1604	0
1605	0
1606	0
1607	0
1608	0
1609	0
1610	0
1611	1
1612	0
1613	0
1614	0
1615	0
1616	1
1617	0
1618	0
1619	0
1620	0
1621	0
1622	0
1623	0
1624	0
1625	0
1626	0
1627	0
1628	0
1629	0
1630	0
1631	0
1632	0
1633	0
1634	0
1635	0
1636	0
1637	0
1638	1
1639	0
1640	0
1641	0
1642	0
1643	0
1644	0
1645	0
1646	0
1647	0
1648	0
1649	1
1650	0
1651	0
1652	0
1653	0
1654	0
1655	0
1656	0
1657	0
1658	0
1659	0
1660	0
1661	0
1662	0
1663	0
1664	0
1665	0
1666	0
1667	0
1668	0
1669	0
1670	1
1671	0
1672	0
1673	1
1674	0
1675	0
1676	0
1677	0
1678	0
1679	0
1680	0
1681	0
1682	0
1683	0
1684	0
1685	0
1686	0
1687	0
1688	0
1689	0
1690	0
1691	0
1692	0
1693	0
1694	0
1695	0
1696	0
1697	0
1698	0
1699	0
1700	0
1701	0
1702	0
1703	0
1704	0
1705	0
1706	0
1707	0
1708	0
1709	0
1710	0
1711	0
1712	0
1713	0
1714	0
1715	0
1716	0
1717	0
1718	0
1719	0
1720	0
1721	0
1722	0
1723	0
1724	0
1725	0
1726	0
1727	0
1728	0
1729	0
1730	0
1731	0
1732	0
1733	0
1734	0
1735	0
1736	0
1737	0
1738	0
1739	0
1740	0
1741	0
1742	0
1743	1
1744	0
1745	0
1746	0
1747	0
1748	0
1749	0
1750	0
1751	0
1752	0
1753	0
1754	0
1755	0
1756	0
1757	0
1758	0
1759	0
1760	0
1761	0
1762	0
1763	0
1764	0
1765	0
1766	0
1767	0
1768	0
1769	0
1770	0
1771	0
1772	0
1773	0
1774	0
1775	0
1776	0
1777	0
1778	0
1779	0
1780	0
1781	0
1782	0
1783	0
1784	0
1785	0
1786	0
1787	0
1788	0
1789	0
1790	0
1791	0
1792	0
1793	0
1794	0
1795	0
1796	0
1797	0
1798	0
1799	0
1800	0
1801	0
1802	0
1803	0
1804	0
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	0
1812	0
1813	0
1814	0
1815	1
1816	0
1817	0
1818	0
1819	0
1820	0
1821	0
1822	0
1823	0
1824	1
1825	0
1826	0
1827	0
1828	0
1829	1
1830	0
1831	0
1832	0
1833	0
1834	0
1835	0
1836	0
1837	0
1838	1
1839	0
1840	0
1841	0
1842	0
1843	0
1844	0
1845	0
1846	0
1847	0
1848	0
1849	0
1850	0
1851	0
1852	1
1853	0
1854	1
1855	0
1856	0
1857	1
1858	0
1859	0
1860	1
1861	0
1862	0
1863	0
1864	0
1865	0
1866	0
1867	0
1868	1
1869	0
1870	0
1871	0
1872	0
1873	1
1874	0
1875	0
1876	0
1877	0
1878	0
1879	0
1880	0
1881	0
1882	0
1883	0
1884	0
1885	0
1886	0
1887	0
1888	0
1889	0
1890	0
1891	0
1892	0
1893	0
1894	0
1895	0
1896	0
1897	0
1898	0
1899	0
1900	0
1901	0
1902	0
1903	0
1904	0
1905	0
1906	0
1907	0
1908	0
1909	0
1910	0
1911	0
1912	0
1913	0
1914	0
1915	0
1916	0
1917	0
1918	0
1919	0
1920	0
1921	0
1922	0
1923	0
1924	0
1925	0
1926	0
1927	0
1928	0
1929	0
1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	1
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	0
1979	0
1980	0
1981	0
1982	0
1983	0
1984	0
1985	0
1986	0
1987	0
1988	0
1989	0
1990	0
1991	0
1992	0
1993	0
1994	0
1995	0
1996	0
1997	0
1998	0
1999	0
2000	0
2001	0
2002	1
2003	0
2004	0
2005	0
2006	0
2007	0
2008	0
2009	0
2010	0
2011	0
2012	0
2013	0
2014	0
2015	0
2016	0
2017	0
2018	0
2019	0
2020	0
2021	0
2022	0
2023	0
2024	0
2025	0
2026	0
2027	0
2028	0
2029	0
2030	0
2031	0
2032	0
2033	0
2034	0
2035	0
2036	0
2037	0
2038	0
2039	0
2040	0
2041	0
2042	0
2043	0
2044	0
2045	0
2046	0
2047	0
